,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,165,165,1650,1650,,,,191040,191040,191040,191040,,,,Medical Scientists
,,,,,1650,1650,,,,,,1910XX,1910XX,,"Medical Scientists, and Life Scientists, All Other"
,,,,,,,1650,,,,,,,1910XX,Other life scientists
,170,170,1700,1700,1700,1700,1700,192010,192010,192010,192010,192010,192010,192010,Astronomers and Physicists
,171,171,1710,1710,1710,1710,1710,192021,192021,192021,192021,192021,192021,192021,Atmospheric and Space Scientists
,172,172,1720,1720,1720,1720,1720,192030,192030,192030,192030,192030,192030,192030,Chemists and Materials Scientists
,174,174,1740,1740,1740,1740,,192040,192040,192040,192040,192040,192040,,Environmental Scientists and Geoscientists
,,,,,,,1745,,,,,,,192041,"Environmental Scientists And Specialists, Including Health"
,,,,,,,1750,,,,,,,19204X,"Geoscientists And Hydrologists, Except Geographers"
,176,176,1760,1760,1760,1760,1760,192099,192099,192099,192099,192099,192099,192099,"Physical Scientists, All Other"
,180,180,1800,1800,1800,1800,1800,193011,193011,193011,193011,193011,193011,193011,Economists
,181,181,1810,1810,,,,193020,193020,193020,193020,,,,Market and Survey Researchers
,182,182,1820,1820,1820,1820,,193030,193030,193030,193030,193030,193030,,Psychologists
,,,,,,,1821,,,,,,,193033,Clinical And Counseling Psychologists
,,,,,,,1822,,,,,,,193034,School Psychologists
,,,,,,,1825,,,,,,,19303X,Other Psychologists
,183,,1830,,,,,193041,,193041,,,,,Sociologists
,184,184,1840,1840,1840,1840,1840,193051,193051,193051,193051,193051,193051,193051,Urban and Regional Planners
,186,,1860,,,,,193090,,193090,,,,,Miscellaneous Social Scientists and Related Workers
,,186,,1860,,,,,1930XX,,1930XX,,,,Miscellaneous social scientists including sociologists
,,,,,1860,1860,,,,,,1930XX,1930XX,,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists"
,,,,,,,1860,,,,,,,1930XX,Other Social Scientists
,190,190,1900,1900,1900,1900,,194011,194011,194011,194011,194011,194011,,Agricultural And Food Science Technicians
,,,,,,,1900,,,,,,,194010,Agricultural and Food Science Technicians
,191,191,1910,1910,1910,1910,1910,194021,194021,194021,194021,194021,194021,194021,Biological Technicians
,192,192,1920,1920,1920,1920,1920,194031,194031,194031,194031,194031,194031,194031,Chemical Technicians
,193,193,1930,1930,,,,194041,194041,194041,194041,,,,Geological and Petroleum Technicians
,,,,,1930,1930,,,,,,1940XX,1940XX,,"Geological and Petroleum Technicians, and Nuclear Technicians"
,,,,,,,1935,,,,,,,1940XX,"Environmental Science And Geoscience Technicians, And Nuclear Technicians"
,194,,1940,,,,,194051,,194051,,,,,Nuclear Technicians
,196,,1960,,,,,1940XX,,1940XX,,,,,"Other life, physical, and social science technicians"
,,196,,1960,,,,,1940XX,,1940XX,,,,"Miscellaneous life, physical, and social science technicians, including social science research assistants and nuclear technicians"
,,,,,1965,1965,,,,,,1940YY,1940YY,,"Miscellaneous Life, Physical, and Social Science Technicians, Including Social Science Research Assistants"
,,,,,,,1970,,,,,,,1940YY,"Other Life, Physical, And Social Science Technicians"
,,,,,,,1980,,,,,,,195010,Occupational Health And Safety Specialists And Technicians
Community and Social Service Occupations:,,,,,,,,,,,,,,,
,200,200,2000,2000,2000,2000,,211010,211010,211010,211010,211010,211010,,Counselors
,,,,,,,2001,,,,,,,211011,Substance Abuse And Behavioral Disorder Counselors
,,,,,,,2002,,,,,,,211012,"Educational, Guidance, And Career Counselors And Advisors"
,,,,,,,2003,,,,,,,211013,Marriage And Family Therapists
,,,,,,,2004,,,,,,,211014,Mental Health Counselors
,,,,,,,2005,,,,,,,211015,Rehabilitation Counselors
,,,,,,,2006,,,,,,,211019,"Counselors, All Other"
,201,201,2010,2010,2010,2010,,211020,211020,211020,211020,211020,211020,,Social Workers
,,,,,,,2011,,,,,,,211021,"Child, Family, And School Social Workers"
,,,,,,,2012,,,,,,,211022,Healthcare Social Workers
,,,,,,,2013,,,,,,,211023,Mental Health And Substance Abuse Social Workers
,,,,,,,2014,,,,,,,211029,Social Workers All Other
,202,202,2020,2020,,,,211090,211090,211090,211090,,,,Miscellaneous Community and Social Service Specialists
,,,,,2015,2015,2015,,,,,211092,211092,211092,Probation Officers and Correctional Treatment Specialists
,,,,,2016,2016,2016,,,,,211093,211093,211093,Social and Human Service Assistants
,,,,,2025,2025,,,,,,21109X,21109X,,"Miscellaneous Community and Social Service Specialists, Including Health Educators and Community Health Workers"
,,,,,,,2025,,,,,,,21109X,Other Community And Social Service Specialists
,204,204,2040,2040,2040,2040,2040,212011,212011,212011,212011,212011,212011,212011,Clergy
,205,205,2050,2050,2050,2050,2050,212021,212021,212021,212021,212021,212021,212021,"Directors, Religious Activities and Education"
,206,206,2060,2060,2060,2060,2060,212099,212099,212099,212099,212099,212099,212099,"Religious Workers, All Other"
Legal Occupations:,,,,,,,,,,,,,,,
,210,210,2100,,,,,231011,231011,231011,,,,,Lawyers
,,,,2100,2100,2100,2100,,,,231011,2310XX,2310XX,2310XX,"Lawyers, and judges, magistrates, and other judicial workers"
,211,211,2110,,,,,231020,231020,231020,,,,,"Judges, Magistrates, and Other Judicial Workers"
,,,,,2105,2105,2105,,,,,231012,231012,231012,Judicial Law Clerks
,214,214,2140,2140,,,,232011,232011,232011,232011,,,,Paralegals and Legal Assistants
,,,,,2145,2145,2145,,,,,232011,232011,232011,Paralegals and Legal Assistants
,215,215,2150,2150,,,,232090,232090,232090,232090,,,,Miscellaneous Legal Support Workers
,,,,,2160,2160,,,,,,232090,232090,,Miscellaneous Legal Support Workers
,,,,,,,2170,,,,,,,232093,"Title Examiners, Abstractors, And Searchers"
,,,,,,,2180,,,,,,,232099,"Legal Support Workers, All Other"
Education Instruction and Library Occupations:,,,,,,,,,,,,,,,
,220,220,2200,2200,2200,2200,,251000,251000,251000,251000,251000,251000,,Postsecondary Teachers
,,,,,,,2205,,,,,,,251000,Postsecondary Teachers
,230,230,2300,2300,2300,2300,2300,252010,252010,252010,252010,252010,252010,252010,Preschool and Kindergarten Teachers
,231,231,2310,2310,2310,2310,2310,252020,252020,252020,252020,252020,252020,252020,Elementary and Middle School Teachers
,232,232,2320,2320,2320,2320,2320,252030,252030,252030,252030,252030,252030,252030,Secondary School Teachers
,233,233,2330,2330,2330,2330,2330,252040,252040,252040,252040,252050,252050,252050,Special Education Teachers
,234,234,2340,2340,2340,2340,,253000,253000,253000,253000,253000,253000,,Other Teachers and Instructors
,,,,,,,2350,,,,,,,253041,Tutors
,,,,,,,2360,,,,,,,2530XX,Other Teachers And Instructors
,240,240,2400,2400,2400,2400,2400,254010,254010,254010,254010,254010,254010,254010,"Archivists, Curators, and Museum Technicians"
,243,243,2430,2430,2430,2430,,254021,254021,254021,254021,254021,254021,,Librarians
,,,,,,,2435,,,,,,,254022,Librarians And Media Collections Specialists
,244,244,2440,2440,2440,2440,2440,254031,254031,254031,254031,254031,254031,254031,Library Technicians
,254,254,2540,2540,2540,2540,,259041,259041,259041,259041,259041,259041,,Teacher Assistants
,,,,,,,2545,,,,,,,259040,Teaching Assistants
,255,255,2550,2550,2550,2550,,2590XX,2590XX,2590XX,2590XX,2590XX,2590XX,,"Other Education, Training, and Library Workers"
